row,DR_1-146,DR_1-147,DR_1-148,DR_1-149,DR_10-141,DR_10-142,DR_10-143,DR_10-144,DR_10-145,DR_11-136,DR_11-137,DR_11-138,DR_12-140,DR_12-141,DR_12-142,DR_12-143,DR_12-144,DR_13-139,DR_13-140,DR_13-141,DR_13-142,DR_14-139,DR_14-140,DR_14-141,DR_14-142,DR_15-147,DR_15-148,DR_15-149,DR_15-150,DR_16-145,DR_16-146,DR_16-147,DR_17-142,DR_17-143,DR_17-144,DR_17-145,DR_18-133,DR_19-138,DR_19-139,DR_19-140,DR_19-141,DR_2-140,DR_2-141,DR_2-142,DR_20-139,DR_20-140,DR_21-77,DR_21-78,DR_21-79,DR_21-80,DR_21-81,DR_22-71,DR_22-72,DR_22-73,DR_22-74,DR_23-76,DR_23-77,DR_23-78,DR_3-141,DR_3-142,DR_3-143,DR_3-144,DR_4-150,DR_4-151,DR_4-152,DR_5-129,DR_5-130,DR_5-131,DR_6-144,DR_6-145,DR_6-146,DR_6-147,DR_7-150,DR_7-151,DR_7-152,DR_7-153,DR_8-127,DR_8-128,DR_8-129,DR_8-130,DR_8-131,DR_9-143,DR_9-144,DR_9-145,DR_9-146
11,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,1,1,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
14,0,1,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
15,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,1,1,,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
17,0,0,0,0,0,1,0,0,,0,0,1,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,1,1,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
19,0,0,1,1,0,0,1,0,,0,1,0,0,1,1,0,0,0,1,0,,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
20,0,0,0,1,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,,1,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0,0,1,1,1,1,0,0,,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
22,0,0,0,0,1,1,0,0,,0,1,0,0,1,0,0,0,0,1,0,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1,1,0,1,0,0,1,1,,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
24,0,0,0,0,0,0,1,0,,0,1,1,1,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
25,1,0,0,0,0,0,1,0,,0,0,1,1,1,0,0,1,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,0,0,0,0,1,1,1,1,,0,1,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
27,0,0,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,0,0,0,1,0,0,,0,1,1,0,0,0,1,1,1,0,0,,0,0,0,0,1,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,1,0,0,,0,0,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
30,1,1,1,1,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
31,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,,1,0,1,,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
32,0,0,0,0,1,0,0,1,,0,0,0,0,1,1,0,,0,0,0,,0,0,1,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,,0,0,0,,1,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
34,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,,0,0,0,,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,0,0,0,0,0,0,1,0,,0,0,0,0,1,1,0,,1,0,0,,1,0,0,0,0,0,1,,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
38,0,0,0,1,1,1,0,0,,0,0,0,1,0,0,0,,0,1,1,,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,,0,0,0,,1,0,0,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,1,,1,0,0,,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
42,1,1,0,0,0,0,0,0,,0,1,0,0,1,0,0,,0,0,0,,0,0,1,0,0,0,1,,0,0,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0
43,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,,0,1,1,,0,0,1,0,0,0,1,,0,1,,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,,0,0,0,,0,0,0,0,0,0,0,,0,1,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,0
45,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,,0,1,0,,0,0,0,1,0,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
46,0,0,1,0,0,0,1,0,,0,0,1,0,0,1,0,,0,0,0,,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,1
47,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,,0,0,0,,1,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,1
48,0,0,0,1,0,0,1,1,,0,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
49,0,0,0,1,0,0,0,0,,0,0,1,1,0,0,0,,0,1,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0
50,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,,0,1,0,,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0
51,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,,0,0,0,0,1,0,1,0,0
52,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,,1,0,0,,0,0,0,0,1,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0
53,1,0,0,0,0,0,0,1,,0,0,0,0,1,1,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,1,1,0,,0,0,0,0
54,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,1,0,,0,0,0,0
55,1,0,1,0,1,1,0,1,,0,1,0,1,0,0,0,,0,0,0,,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,,0,0,0,0
56,0,0,1,0,0,1,0,1,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,1,,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,,0,0,1,0
57,0,0,0,0,0,1,0,1,,0,0,0,0,0,0,1,,0,0,0,,0,0,0,0,0,0,1,,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,,0,1,0,0
58,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,1,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,1,0,0,0
59,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,,1,0,0,,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,,0,0,0,0
60,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,,1,1,0,,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,,1,0,0,0
61,0,0,0,0,,1,0,0,,0,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,1,0,0,0,0,0,1,,0,0,1,1,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,,1,0,0,0
62,1,0,0,0,,0,0,0,,0,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,0,,0,1,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,,1,0,0,0
63,1,0,0,0,,0,1,0,,0,1,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,0,,0,0,,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,1,0,,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,,0,0,0,1,,0,0,0,0
64,0,0,0,0,,0,0,0,,0,1,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,1,0,0,0,1,0,1,,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,,0,1,0,0
65,0,0,0,0,,0,0,0,,0,1,0,0,0,1,0,,1,0,0,,0,0,0,1,0,0,0,,0,0,,0,1,1,0,0,1,0,1,,0,1,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,,0,0,1,0
66,0,1,0,0,,0,0,0,,0,0,0,0,1,0,0,,1,0,0,,1,0,0,1,0,0,0,,0,0,,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,,0,0,1,0
67,0,0,0,1,,1,0,0,,0,1,0,1,0,0,0,,0,0,1,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,1,,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,1,0,0,0
68,0,0,0,0,,0,0,0,,0,0,0,0,1,0,1,,1,0,0,,0,0,1,,0,0,0,,0,1,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,1,,0,0,0,0
69,0,1,0,0,,0,0,0,,0,0,0,1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
70,0,0,0,0,,1,0,0,,0,0,0,1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,0,,0,0,0,0
71,0,0,0,0,,1,0,1,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,,0,0,0,0
72,1,0,0,0,,0,0,1,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
73,0,1,0,0,,0,0,0,,0,1,1,0,0,0,0,,0,1,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,,0,0,0,0
74,0,0,0,0,,0,0,0,,0,0,0,0,0,0,1,,0,0,0,,1,0,0,,0,0,0,,0,0,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,,0,0,0,1,,0,0,0,1
75,1,0,0,1,,0,0,0,,0,0,0,0,0,0,0,,1,1,0,,1,0,0,,0,0,0,,0,0,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,,0,0,1,0
76,0,0,1,0,,0,0,0,,0,0,1,0,0,0,1,,1,0,0,,1,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,1,1,,0,0,1,0
